domain,metric,subgroup,value,unit,numerator,denominator,note
cross_language_representation,external_wikipedia_2plus,kkwiki-missing entities,14.48,percent,1688.0,11655.0,"External Wikipedia sitelinks are descriptive cross-language representation, not independent validation or notability evidence."
cross_language_representation,external_wikipedia_3plus,kkwiki-missing entities,8.2,percent,956.0,11655.0,"External Wikipedia sitelinks are descriptive cross-language representation, not independent validation or notability evidence."
cross_language_representation,external_wikipedia_5plus,kkwiki-missing entities,3.23,percent,377.0,11655.0,"External Wikipedia sitelinks are descriptive cross-language representation, not independent validation or notability evidence."
cross_language_representation,external_wikipedia_10plus,kkwiki-missing entities,1.17,percent,136.0,11655.0,"External Wikipedia sitelinks are descriptive cross-language representation, not independent validation or notability evidence."
cross_language_representation,exactly_one_external_wikipedia,kkwiki-missing entities,59.09909909909909,percent,6888.0,11655.0,
cross_language_representation,single_external_wikipedia_site,cebwiki,63.26945412311266,percent,4358.0,6888.0,Denominator is entities represented in exactly one external Wikipedia.
cross_language_representation,single_external_wikipedia_site,ruwiki,19.657375145180023,percent,1354.0,6888.0,Denominator is entities represented in exactly one external Wikipedia.
cross_language_representation,single_external_wikipedia_site,enwiki,3.9198606271777,percent,270.0,6888.0,Denominator is entities represented in exactly one external Wikipedia.
cross_language_representation,single_external_wikipedia_site,mswiki,3.90534262485482,percent,269.0,6888.0,Denominator is entities represented in exactly one external Wikipedia.
gap_concentration,share_of_classified_missing,top_1_p31_classes,14.0,percent,1556.0,,P31 classes overlap because entities may have multiple P31 statements; concentration uses unique missing entities.
gap_concentration,share_of_classified_missing,top_3_p31_classes,33.45,percent,3717.0,,P31 classes overlap because entities may have multiple P31 statements; concentration uses unique missing entities.
gap_concentration,share_of_classified_missing,top_5_p31_classes,44.79,percent,4977.0,,P31 classes overlap because entities may have multiple P31 statements; concentration uses unique missing entities.
gap_concentration,share_of_classified_missing,top_10_p31_classes,53.76,percent,5974.0,,P31 classes overlap because entities may have multiple P31 statements; concentration uses unique missing entities.
gap_concentration,share_of_classified_missing,top_20_p31_classes,66.04,percent,7339.0,,P31 classes overlap because entities may have multiple P31 statements; concentration uses unique missing entities.
gap_concentration,share_of_classified_missing,top_30_p31_classes,72.55,percent,8062.0,,P31 classes overlap because entities may have multiple P31 statements; concentration uses unique missing entities.
gap_concentration,share_of_classified_missing,top_50_p31_classes,78.65,percent,8740.0,,P31 classes overlap because entities may have multiple P31 statements; concentration uses unique missing entities.
gap_concentration,share_of_classified_missing,top_100_p31_classes,86.38,percent,9599.0,,P31 classes overlap because entities may have multiple P31 statements; concentration uses unique missing entities.
