page_id,title,is_redirect,is_disambiguation,qid,length_chars,words,references,images,internal_links,categories
1837,Көптік жалғау,0,0,Q146786,2151,247,1,0,5,3
1838,Тәуелдік жалғау,0,0,Q12567482,2548,347,0,0,1,3
1860,Менің Қазақстаным (ән),0,0,Q4736529,2410,310,0,0,3,1
1872,Мағауия Хамзин,0,0,Q16431935,2992,348,3,0,19,9
1873,Әбікен Хасенов,0,0,Q12578267,3753,404,3,1,25,7
1877,Дина Кенжеқызы Нұрпейісова,0,0,Q4161765,5188,594,4,0,26,10
1880,Түркі тілдері,0,0,Q34090,27622,3337,3,2,265,2
1913,Естай Беркімбайұлы,0,0,Q4084915,3972,430,1,2,39,6
1921,Текелі,0,0,Q2302185,7294,765,12,0,44,1
1956,БТА Банкі,0,0,Q797060,6774,810,4,1,21,1
1957,Наурыз мейрамы,0,0,Q483236,12453,1304,10,7,53,28
1961,Атырау,0,0,Q486913,51626,5217,53,49,201,3
1977,Талғат Аманкелдіұлы Мұсабаев,0,0,Q560360,26932,2630,29,3,83,26
2002,Домбыра,0,0,Q1236973,30754,3771,3,4,88,2
2004,Адырна,0,0,Q4058045,2541,287,3,1,21,3
2008,Қылқобыз,0,0,Q27913358,1425,157,0,1,7,1
2024,Катовице,0,0,Q588,12294,1125,15,2,8,3
2037,Алматы,0,0,Q35493,58302,6702,21,20,293,6
2068,Велосипед,0,0,Q11442,9177,1009,3,4,25,1
2079,Библия,0,0,Q1845,7825,1319,3,1,36,2
2175,Шәмші Қалдаяқов,0,0,Q1036808,11794,1408,5,2,43,2
2202,Ашық Тізімдеме Жобасы,0,0,Q41226,1980,166,0,1,4,2
2233,Футболдан 2006 жылғы әлем біріншілігі,0,0,Q37285,39598,3517,2,28,572,2
2269,Медеу,0,0,Q864796,4683,573,3,3,12,3
2297,Төлеген Момбеков,0,0,Q12567580,6670,833,2,0,13,2
2304,Халықаралық фонетикалық әліпби,0,0,Q21204,4559,484,3,1,8,3
2397,Мәншүк Жиенғалиқызы Мәметова,0,0,Q1045940,4861,549,3,0,34,5
2398,Әлия Нұрмұхамедқызы Молдағұлова,0,0,Q578366,6013,679,0,1,44,10
2399,Махамбет Өтемісұлы,0,0,Q2380565,12503,1479,3,1,58,10
2400,Исатай Тайманұлы,0,0,Q2381435,19310,2425,1,2,41,5
2573,Тарас Григорьевич Шевченко,0,0,Q134958,4965,540,2,1,46,9
2590,Түркия,0,0,Q43,54356,6277,39,17,389,1
2684,PHP,0,0,Q59,6831,757,0,1,39,2
2689,Windows сөзнамасы,0,0,Q12525900,51483,5243,0,1,105,3
2744,Фенербахче (футбол клубы),0,0,Q6601875,30991,3212,31,9,118,2
2769,Мошовце,0,0,Q34409,4123,458,0,0,14,2
2791,HTML,0,0,Q8811,6182,693,0,2,13,5
3320,Қазақстан жоғарғы оқу орындарының тізімі,0,0,Q1451819,71377,6447,93,0,306,3
3322,Майкл Джексон,0,0,Q2831,22206,2852,5,0,64,26
3332,Қожа Ахмет Ясауи,0,0,Q401543,25905,3258,9,1,96,5
3334,Семей медицина университеті,0,0,Q2324449,24403,2801,0,0,9,2
3337,Түркістан (қала),0,0,Q848638,19420,2416,9,3,33,6
3363,Өзбек тілі,0,0,Q9264,4560,497,1,0,31,1
3374,Уикипедия,0,0,Q52,4831,528,1,0,20,4
3380,Ел тізімі (жалпы қабылданған атаулар),0,0,Q20484750,13828,1527,8,0,65,1
3387,Семей,0,0,Q61944,25700,3073,10,3,47,3
3389,Өскемен,0,0,Q162548,33484,3971,6,14,119,2
3393,Ақтөбе,0,0,Q477232,48529,4515,60,3,145,1
3396,Талдықорған,0,0,Q491102,13723,1676,8,1,51,1
3398,Тараз,0,0,Q486545,14901,1905,8,0,76,2
3399,Қостанай,0,0,Q488990,9123,1052,4,0,27,2
3400,Қызылорда,0,0,Q491123,39611,4702,4,4,50,4
3401,Ақтау,0,0,Q198989,12088,1303,10,2,85,3
3403,Павлодар,0,0,Q486282,18366,2131,6,4,70,2
3405,Петропавл,0,0,Q488379,12589,1545,5,2,29,1
3416,Республикалық маңызы бар қала,0,0,Q12266391,508,60,2,0,2,1
3418,Аман Ғұмырұлы Төлеев,0,0,Q2625835,8002,893,4,0,39,5
3420,Иманғали Нұрғалиұлы Тасмағамбетов,0,0,Q1377525,18536,1893,14,0,104,18
3422,Даниал Кенжетайұлы Ахметов,0,0,Q324950,11728,1169,11,0,53,12
3428,Орал,0,0,Q487439,22195,2369,20,3,80,3
3429,Құлсары,0,0,Q1268163,9863,1205,13,4,13,3
3430,ӘАНК,0,0,Q12578085,638,38,0,0,2,1
3442,Табын,0,0,Q15623483,6572,837,0,1,55,1
3443,Беріш,0,0,Q4085267,4652,580,1,0,68,1
3445,Сарайшық,0,0,Q2996387,29458,3654,1,1,47,4
3446,UNIX,0,0,Q11368,713,82,0,1,0,3
3448,Алланың есімдері,0,0,Q83875,35049,4897,1,1,12,2
3452,Linux,0,0,Q388,8031,918,1,2,18,3
3461,Үйшік,0,0,Q12577368,715,88,2,0,5,2
3462,Операциялық жүйелер,0,0,Q9135,13521,1560,1,3,31,3
3501,Қарбыз,0,0,Q132239,3937,486,1,0,29,2
3505,Қауын,0,0,Q81602,2676,356,2,1,17,2
3506,Асқабақ,0,0,Q5339301,2726,303,2,1,30,2
3510,Қасым хан,0,0,Q2467956,15837,2019,3,0,108,2
3516,Мұхаммед Хайдар Дулати,0,0,Q3080648,4982,599,4,0,36,4
3519,Қазақтар,0,0,Q80040,66680,6645,62,17,296,9
3520,Қазақ (этноним),0,0,Q25530290,14535,1789,2,1,53,1
3558,EBay,0,0,Q58024,8467,985,1,3,36,4
3582,Техас,0,0,Q1439,128402,12539,251,50,467,2
3603,Этнос,0,0,Q12839330,14186,1684,2,2,19,3
3604,Тәуелсіз Мемлекеттер Достастығы,0,0,Q7779,18750,2131,1,5,104,4
3605,Қазақстан Республикасының Конституциясы,0,0,Q1734806,21381,2245,48,1,26,2
3612,Қазақ әліпбиі,0,0,Q913703,93374,11552,11,13,354,2
3642,Қытай тілінің транскрипциясы,0,0,Q1234239,573,66,0,0,15,1
3704,Сын есім,0,0,Q34698,6589,879,2,0,11,4
3705,Сан есім,0,0,Q63116,8873,1148,2,0,17,3
3708,Үстеу,0,0,Q380057,12890,1530,2,0,12,4
3719,Есімдік,0,0,Q36224,4742,551,4,0,6,3
3723,Қаңтар,0,0,Q108,840,103,1,1,7,1
3724,Ақпан,0,0,Q109,1274,163,2,1,5,2
3725,Наурыз,0,0,Q110,2414,302,0,0,8,1
3726,Бесқонақ,0,0,Q12535258,1737,228,1,0,12,1
3735,Қазақтар диаспорасы,0,0,Q48956262,55601,6780,7,7,84,2
3738,Қазақтар (этногенез),0,0,Q12573569,12942,1546,0,2,187,1
3739,Етістік,0,0,Q24905,11388,1464,2,0,42,7
3741,Одағай,0,0,Q83034,5589,709,3,0,1,3
3742,Морфология (лингвистика),0,0,Q38311,11719,1453,2,0,25,1
3743,Синтаксис,0,0,Q37437,3881,399,0,0,46,4
3746,Қазақ транслитерациясы,0,0,Q4208445,8853,1211,2,0,31,1
3757,Шылау,0,0,Q184943,6472,797,0,0,6,1
3758,Еліктеу сөз,0,0,Q170239,6144,778,2,0,4,3
3759,Зат есім,0,0,Q1084,8468,1132,2,0,13,4
3761,Сөз табы,0,0,Q82042,2553,222,0,1,35,2
3780,Беларусь,0,0,Q184,30306,3274,21,9,208,2
3812,Қазақ күнтізбесі,0,0,Q25530325,6670,907,1,0,49,1
3841,Астана (велоклуб),0,0,Q478309,8320,940,4,3,66,3
3853,Әбдірәхім Шаңбаев,0,0,Q12570064,1188,145,0,0,7,4
3855,Кәдірәлі Есболатұлы,0,0,Q12550700,702,89,0,0,3,5
3856,Сәулет Төлегенұлы,0,0,Q12564163,593,79,0,0,2,4
3857,Қызыр Мамырбекұлы,0,0,Q24846475,1567,131,3,2,4,3
3859,Септік жалғау,0,0,Q192997,3536,413,2,0,8,4
3863,Күрделі зат есім,0,0,Q25530326,1397,191,0,0,1,3
3873,Сөз тіркесі,0,0,Q1774041,4010,505,2,0,8,1
3875,Сөйлем,0,0,Q41796,12823,1559,4,0,67,6
3876,Бастауыш,0,0,Q164573,3409,448,2,0,17,3
3877,Баяндауыш,0,0,Q179080,2805,350,1,0,22,2
3883,Анықтауыш,0,0,Q732699,2096,239,3,0,9,3
3884,Пысықтауыш,0,0,Q380012,4068,506,3,0,17,2
3933,Толықтауыш,0,0,Q175026,1715,201,0,0,12,2
3934,Жіктік жалғау,0,0,Q12545559,4097,443,0,0,13,3
3943,Сөз түбірі,0,0,Q111029,792,99,0,0,2,2
3998,Исландия,0,0,Q189,14529,1587,7,2,75,1
4006,Фарер аралдары,0,0,Q4628,4234,446,0,0,18,2
4009,Норвегия,0,0,Q20,24509,2932,10,1,180,1
4011,Дания,0,0,Q35,23079,2744,9,1,80,1
4013,Швеция,0,0,Q34,21108,2391,11,6,192,1
4015,Аланд аралдары,0,0,Q5689,5838,686,2,4,49,1
4022,Германия,0,0,Q183,38115,4216,15,6,212,5
4026,Швейцария,0,0,Q39,39962,3998,36,15,280,1
4034,Италия,0,0,Q38,44944,5312,20,5,270,1
4036,Сан-Марино,0,0,Q238,5684,628,6,3,16,1
4038,Етіс,0,0,Q211101,2080,244,0,0,4,4
4040,Лихтенштейн,0,0,Q347,5890,574,12,0,20,1
4042,Ватикан,0,0,Q237,10270,1238,1,1,42,2
4051,Испания,0,0,Q29,47813,5674,12,7,244,1
4059,Ахмеди Ысқақұлы Ысқақов,0,0,Q16433114,3169,332,3,0,11,7
4068,Португалия,0,0,Q45,11213,1190,12,6,60,1
4073,Андорра,0,0,Q228,20052,2323,12,4,46,1
4084,Рай,0,0,Q184932,7499,894,3,0,7,2
4085,Арай категориясы,0,0,Q12529597,457,43,1,0,3,2
4282,Облыс орталығы,0,0,Q12556914,897,75,0,0,35,1
4283,Байұлы,0,0,Q4075780,1104,119,1,1,21,2
4300,Ислам,0,0,Q432,145453,15169,217,81,662,3
4301,Құран,0,0,Q428,73481,9115,90,10,361,8
4318,Башқұрт тілі,0,0,Q13389,6152,546,0,1,54,6
4516,Тығыз индекс,0,0,Q25530329,999,123,0,0,1,1
4517,Сирек индекс,0,0,Q25530328,1013,126,0,0,1,1
4522,Үшінші қалыпты түр,0,0,Q311585,6836,690,0,0,1,1
4528,Сырбай Мәуленов,0,0,Q4285535,4596,494,2,0,36,13
4537,Кәрім Қажымқанұлы Мәсімов,0,0,Q209639,15580,1538,17,0,81,20
4539,Әкім,0,0,Q539597,5024,549,4,0,20,2
4540,SDU University,0,0,Q2370088,12282,1292,0,3,8,1
4545,Бауыржан Әлімұлы Мұхаметжанов,0,0,Q1045973,11702,1140,3,0,77,12
4548,Ермұхамет Қабиденұлы Ертісбаев,0,0,Q1046021,7170,714,5,0,36,19
4550,Жансейіт Қансейітұлы Түймебаев,0,0,Q4465018,13468,1606,1,0,22,6
4552,Темірхан Мыңайдарұлы Досмұханбетов,0,0,Q4167199,9465,1083,1,0,43,22
4554,Ахметжан Смағұлұлы Есімов,0,0,Q340561,25551,2315,40,0,59,16
4556,Наталья Артёмовна Коржова,0,0,Q4233034,9972,886,11,0,64,8
4558,Мұхаммед,0,0,Q9458,41852,4619,33,7,209,7
4560,Анатолий Григорьевич Дерновой,0,0,Q4159032,1693,200,0,0,17,3
4561,Ғалым Ізбасарұлы Оразбақов,0,0,Q527078,5792,640,1,0,24,6
4562,Марат Мұханбетқазыұлы Тәжин,0,0,Q1377798,13508,1077,11,0,117,11
4566,Гүлжан Жанпейісқызы Қарақұсова,0,0,Q4213731,8426,915,1,0,50,4
4568,Нұрлан Әбділдаұлы Ысқақов,0,0,Q4203818,1293,148,0,0,8,3
4570,Виктор Вячеславович Храпунов,0,0,Q1377512,5817,556,3,0,44,6
4572,Зағипа Яхияқызы Балиева,0,0,Q4076608,7006,619,1,0,65,8
4577,Берік Мәжитұлы Имашев,0,0,Q1046003,6913,577,7,0,50,7
4608,Қасым-Жомарт Кемелұлы Тоқаев,0,0,Q200881,111293,10389,168,15,471,19
4611,Мұхтар Қапашұлы Алтынбаев,0,0,Q1045853,9503,1122,3,1,33,14
4617,Қалақай,0,0,Q121671,2453,317,1,0,15,1
4619,Орал Байғонысұлы Мұхамеджанов,0,0,Q4308742,4650,487,0,1,32,13
4622,Қуандық Тұрғанқұлұлы Тұрғанқұлов,0,0,Q12567276,2094,223,1,0,25,4
4702,Біріккен Ұлттар Ұйымы,0,0,Q1065,21168,2365,3,18,113,2
4711,Нью-Йорк,0,0,Q60,12340,1185,15,3,68,4
4722,Амангелді Смағұлұлы Шабдарбаев,0,0,Q1045933,6010,655,4,1,40,6
4724,Әділбек Рыскелдіұлы Жақсыбеков,0,0,Q357241,10701,1135,8,1,87,9
4728,Оралбай Әбдікәрімов,0,0,Q12557416,14948,1440,35,0,107,7
4734,Мақсұт Сұлтанұлы Нәрікбаев,0,0,Q4313147,4283,428,4,1,32,7
4736,Бергей Сәулебайұлы Рысқалиев,0,0,Q4402053,4499,552,2,0,16,9
4737,Сәлімжан Жұмашұлы Нақпаев,0,0,Q7404619,2458,265,2,0,11,8
4745,Абай Бөлекбайұлы Тасболатов,0,0,Q4452306,11206,973,8,1,65,12
4778,Сана,0,0,Q450,41279,4128,84,10,237,2
4783,Махмұд Базарқұлұлы Қасымбеков,0,0,Q12553162,4983,539,1,0,13,9
4786,Қазақстан президентінің байрағы,0,0,Q4526727,1199,129,0,2,0,1
4788,Қазақстан аудандары,0,0,Q2643128,13705,1743,0,6,400,1
4804,Мезозой,0,0,Q83222,5817,753,3,0,18,2
4816,Чуваш тілі,0,0,Q33348,5085,407,1,0,51,3
4820,Палеозой,0,0,Q75507,5222,550,1,1,105,4
4842,Сәуір,0,0,Q118,872,102,1,0,11,1
4843,Мамыр,0,0,Q119,688,80,1,0,6,1
4844,Маусым,0,0,Q120,1303,144,2,0,13,2
4845,Шілде,0,0,Q121,840,100,1,2,7,1
4846,Тамыз,0,0,Q122,651,73,1,0,8,1
4847,Қыркүйек,0,0,Q123,648,76,0,1,6,1
4848,Қазан,0,0,Q124,557,61,1,0,6,1
4849,Қараша,0,0,Q125,1020,101,2,0,6,1
4850,Желтоқсан,0,0,Q126,1121,135,1,0,17,2
4851,Ербол Тұрмаханұлы Орынбаев,0,0,Q4337290,5640,593,1,0,57,1
4852,Рахат Мұхтарұлы Әлиев,0,0,Q701515,10544,1092,3,0,68,17
4855,Әнуар Ғалимоллаұлы Сәйденов,0,0,Q1046047,3451,410,2,1,12,11
4858,Рашид Төлеутайұлы Түсіпбеков,0,0,Q4466589,8563,916,1,0,51,11
4859,Кайнозой,0,0,Q102416,7096,860,1,0,25,4
4869,Дариға Нұрсұлтанқызы Назарбаева,0,0,Q376532,39082,4390,56,1,132,6
4877,Алтын Қыран ордені,0,0,Q1045784,8089,832,5,2,61,2
4879,Халық қаһарманы,0,0,Q429649,7865,934,2,1,55,3
4883,Отан ордені,0,0,Q1586559,2625,287,1,2,11,1
4884,Барыс ордені,0,0,Q1122209,4033,476,1,5,7,1
4885,Даңқ ордені,0,0,Q3885324,5733,700,1,4,10,1
4886,Айбын ордені,0,0,Q3885258,3508,383,0,6,15,1
4889,Парасат ордені,0,0,Q956423,2615,288,2,3,20,1
4893,Достық ордені,0,0,Q2360655,2553,274,1,4,7,1
4895,Құрмет ордені,0,0,Q1862291,3736,424,1,2,11,2
4896,Алтын алқа,0,0,Q3677399,1170,133,1,1,14,2
4897,Күміс алқа,0,0,Q648528,1506,141,1,1,15,3
4899,Алтын жұлдыз,0,0,Q12528660,693,75,0,1,5,1
4903,Назарбаев ордені,0,0,Q919359,4033,449,0,2,11,2
4905,Қазақстанның мемлекеттік наградалары,0,0,Q4311730,9805,1117,0,0,62,1
4920,Жандарбек Мәлібеков,0,0,Q16437108,11174,1265,5,0,21,4
4924,Шәкен Оңласынұлы Ниязбеков,0,0,Q5092066,4740,540,4,0,27,2
4930,Жұмекен Сабырұлы Нәжімеденов,0,0,Q1045903,7664,754,5,0,31,10
4934,Қазақстанның ғарышкер-ұшқышы,0,0,Q4273136,1469,116,1,1,13,3
4938,Ерлігі үшін медалі,0,0,Q3853514,2023,223,1,2,9,1
4941,Жауынгерлік epлiгi үшін медалі,0,0,Q3853515,2993,356,0,2,8,1
4943,Ерен еңбегі үшін медалі,0,0,Q3853597,2028,224,1,2,9,1
4945,Шапағат медалі,0,0,Q3853560,1612,170,0,2,8,1
5000,Шыңғыс хан,0,0,Q720,11348,1418,1,2,57,8
5002,Кенесары хан,0,0,Q2997636,19001,2351,1,0,61,4
5003,Тәуекел хан,0,0,Q3826516,9991,1242,3,0,126,4
5004,Жәнібек хан,0,0,Q2658842,7012,877,2,0,83,3
5005,Керей хан,0,0,Q3826541,7503,949,2,0,51,3
5006,Есім хан,0,0,Q4177117,19815,2620,8,0,108,2
5007,Бұрындық хан,0,0,Q3826469,12634,1624,1,0,45,3
5009,Әбілқайыр хан (Кіші жүз),0,0,Q2498819,11142,1482,0,1,49,3
5010,Абылай хан,0,0,Q322100,35232,4454,10,5,169,5
5027,Бейбарыс сұлтан мешіті,0,0,Q1535255,1444,178,0,1,9,1
5028,Сұлтан Бейбарыс,0,0,Q192960,40191,4637,45,9,93,3
5029,Ұлы жасақ,0,0,Q1051307,3819,488,2,0,21,2
5032,Шығай хан,0,0,Q3826533,4058,539,0,0,40,3
5033,Тәуке хан,0,0,Q2497155,12486,1530,0,5,64,3
5036,Дінмұхамед Ахметұлы Қонаев,0,0,Q1226580,18435,2150,4,2,128,34
5039,Геннадий Васильевич Колбин,0,0,Q743494,3129,334,1,0,35,2
5040,Моңғол шапқыншылығы,0,0,Q2092093,10771,1357,0,1,188,1
5042,Мұқағали Сүлейменұлы Мақатаев,0,0,Q4275564,16197,1879,7,1,68,9
5044,Нұрғиса Атабайұлы Тілендиев,0,0,Q4459033,23229,2932,3,0,47,21
5045,Шәкен Кенжетайұлы Айманов,0,0,Q4058893,9471,1040,4,1,58,5
5047,Күләш Жасынқызы Бәйсейітова,0,0,Q1045898,12812,1434,3,0,71,11
5049,Мұқан Төлебаев,0,0,Q4465110,5618,598,2,2,31,6
5058,Сәбит Мұқанұлы Мұқанов,0,0,Q1045926,44147,5384,10,1,91,14
5060,Қаныш Имантайұлы Сәтбаев,0,0,Q145291,47904,5607,16,0,116,11
5064,Тұрар Рысқұлов,0,0,Q4402066,14977,1691,7,5,52,7
5065,Ілияс Жансүгіров,0,0,Q4159911,17666,2048,5,5,62,15
5066,Бейімбет Жармағамбетұлы Майлин,0,0,Q4274907,7000,748,5,3,32,3
5070,Жүсіпбек Аймауытов,0,0,Q4058897,10226,1103,3,1,46,3
5073,Міржақып Дулатұлы,0,0,Q1045918,25618,3142,12,4,105,5
5074,Кенен Әзірбаев,0,0,Q4058235,7777,968,6,1,24,13
5075,Сара Тастанбекқызы,0,0,Q4408227,4134,488,2,1,23,3
5076,Мұхаметжан Тынышбайұлы,0,0,Q4467086,17557,2073,5,0,104,8
5079,Балуан Шолақ,0,0,Q4076987,4869,586,3,0,15,6
5084,Ыбырай Алтынсарин,0,0,Q2628401,24870,3129,0,1,11,3
5090,Ұлбике Жанкелдіқызы,0,0,Q12577782,5024,631,1,0,23,8
5091,Жамбыл Жабайұлы,0,0,Q2072231,16552,2044,2,0,150,15
5092,Ықылас Дүкенұлы,0,0,Q4529385,4280,492,3,2,30,7
5093,Шоқан Шыңғысұлы Уәлиханов,0,0,Q135392,28216,3392,6,5,83,17
5096,Жәңгір-Керей хан,0,0,Q4178081,7432,917,2,1,50,6
5097,Бекет Мырзағұлұлы,0,0,Q12534806,7941,925,11,0,37,3
5099,Сырым Датұлы,0,0,Q4448148,8877,1082,4,0,46,5
5101,Әйтеке би,0,0,Q4059004,14867,1939,13,0,87,1
5102,Қазыбек би,0,0,Q4208471,84604,12392,3,0,55,2
5103,Төле би,0,0,Q4459685,76740,11163,4,2,152,1
5104,Қадырғали Жалайыр,0,0,Q4207402,26024,3282,5,0,178,3
5110,Жошы хан,0,0,Q186581,10975,1389,1,1,79,1
5112,Майқы би,0,0,Q4274900,17242,2358,17,0,20,7
5115,Махмұд Қашқари,0,0,Q563564,6020,773,2,1,22,8
5116,Қарабура,0,0,Q16436931,15193,1865,3,1,186,3
5117,Айша бибі,0,0,Q19521611,5921,775,1,1,1,2
5118,Әбділкәрім Сатұқ Қарахан,0,0,Q3239600,1520,182,0,0,15,3
5120,Күлтегін,0,0,Q1445454,5511,717,2,0,8,1
5121,Тоныкөк,0,0,Q2384764,5527,716,1,1,17,1
5122,Бумын қаған,0,0,Q29001,6376,842,0,0,11,5
5123,Еділ қаған,0,0,Q36724,28400,3291,43,8,132,5
5125,Мөде қаған,0,0,Q382816,6160,807,1,0,13,2
5132,Тұмар ханша,0,0,Q464777,7211,905,1,3,18,2
5133,Есет Көкіұлы,0,0,Q4450754,4058,521,3,2,21,4
5140,Мұхтар Ақатұлы Аюбаев,0,0,Q16272929,7274,822,7,1,23,11
5144,Әмір Темір,0,0,Q8462,35659,4469,10,2,130,2
5246,Мамаш хан,0,0,Q3826487,2541,333,0,0,27,3
5247,Тахир хан,0,0,Q3826480,2803,365,0,0,22,3
5248,Тоғым хан,0,0,Q4464923,2732,367,0,0,13,3
5249,Бұйдаш хан,0,0,Q3826525,2905,384,2,0,22,3
5251,Хақназар хан,0,0,Q4494877,5662,720,2,0,40,2
5252,Салқам Жәңгір хан,0,0,Q4178087,5689,680,2,0,34,4
5253,Қайып хан,0,0,Q12573878,6097,753,0,1,37,2
5254,Болат хан,0,0,Q10972603,2943,373,3,0,30,1
5255,Әбілмәмбет хан,0,0,Q11903850,6695,824,0,1,48,3
5267,Ақ Орда (мемлекет),0,0,Q2553863,7830,972,4,1,111,2
5268,Әбілқайыр хандығы,0,0,Q15535871,6028,596,3,0,42,6
5273,Ноғай Ордасы,0,0,Q631210,6945,894,2,1,37,11
5276,Ғұндар,0,0,Q45813,25137,3140,8,3,190,9
5277,Сарматтар,0,0,Q162858,8379,1042,0,2,7,7
5278,Үйсін мемлекеті,0,0,Q86668075,20931,2587,6,1,112,3
5279,Қаңлылар,0,0,Q915517,18725,2339,1,2,89,2
5280,Сақтар,0,0,Q673001,26470,3293,4,6,117,2
5281,Андроново мәдениеті,0,0,Q459376,15144,1809,3,2,84,6
5282,Ақорда (резиденция),0,0,Q413579,3805,499,1,0,7,3
5288,Түргеш қағанаты,0,0,Q1277895,8430,1060,1,0,58,2
5290,Қарахан мемлекеті,0,0,Q494354,5726,627,0,1,50,2
5291,Қарақытай мемлекеті,0,0,Q862304,3410,419,0,1,15,2
5293,Оғыз мемлекеті,0,0,Q1099731,14938,1817,4,0,62,2
5294,Қыпшақ одағы,0,0,Q16432837,7238,909,0,2,16,1
5295,Қазақ хандығы,0,0,Q1433867,50127,6057,4,12,389,8
5297,Исатай-Махамбет көтерілісі,0,0,Q4126351,17271,2097,1,2,124,6
5298,1916 жылғы Қазақстандағы ұлт-азаттық көтеріліс,0,0,Q4438492,18143,2149,8,0,42,3
5308,Есік Алтын адамы,0,0,Q2369181,10507,1332,5,4,17,4
5311,Қазақстан халқы ассамблеясы,0,0,Q4071428,22114,2510,24,0,12,2
5313,Әлемдік және дәстүрлі діндер лидерлерінің съезі,0,0,Q22907440,10920,1261,2,1,7,1
5315,Қазақстан Республикасы Қарулы Күштері,0,0,Q348950,20296,2186,3,38,96,1
5318,Қазақстан Республикасының Парламенті,0,0,Q2995409,20324,2190,16,0,70,3
5319,Қазақстан Парламентінің Сенаты,0,0,Q1316045,13247,1458,4,0,45,3
5320,Қазақстан Парламентінің Мәжілісі,0,0,Q1247199,26191,2992,9,0,104,2
5321,Қазақстан Республикасының Үкіметі,0,0,Q3814905,31377,3248,9,33,109,2
5323,Қазақстан Жоғарғы Соты,0,0,Q4109099,8488,955,11,11,18,1
5326,Қайрат Әбдіразақұлы Мәми,0,0,Q4279908,10740,1111,6,0,51,11
5329,Қазақстанның Президенттік оркестрі,0,0,Q30645576,1798,203,0,0,0,2
5332,Қазақстан теңгесі,0,0,Q173751,33604,4087,15,45,40,2
5334,Солтүстік Кипр Түрік Республикасы,0,0,Q23681,5446,604,0,0,33,1
5341,Эстония,0,0,Q191,32249,3931,16,2,121,2
5342,Финляндия,0,0,Q33,21825,2597,12,2,93,1
5343,Түркі мәдениетін және өнерін дамыту халықаралық ұйымы,0,0,Q1993710,3880,447,0,1,52,1
5363,Алтай Республикасы,0,0,Q5971,15534,1773,5,4,221,1
5364,Башқұртстан,0,0,Q5710,13965,1517,5,5,137,2
5365,Ғағауызстан,0,0,Q164819,2977,296,0,1,9,1
