p31,label_en,label_kk,label_ru,total_entities,covered_entities,missing_entities,coverage_pct,missing_pct
Q105758208,power plant complex,power plant complex,power plant complex,1,1,0,100.0,0.0
Q105758271,multilateral development bank,multilateral development bank,многосторонний банк развития,1,0,1,0.0,100.0
Q1058914,,,,1,0,1,0.0,100.0
Q105897950,agriculture by country or territory,agriculture by country or territory,сельское хозяйство на территории,1,0,1,0.0,100.0
Q105982452,branch naval fleet,branch naval fleet,branch naval fleet,1,0,1,0.0,100.0
Q105985,judiciary,Сот билігі,судебная власть,2,0,2,0.0,100.0
Q1060409,honor guard,honor guard,часовой,1,0,1,0.0,100.0
Q1060829,,,,10,6,4,60.0,40.0
Q1061151,massif,Тау тізбегі,горный массив,1,1,0,100.0,0.0
Q106123,international E-road network,international E-road network,европейский автомобильный маршрут,1,0,1,0.0,100.0
Q1061648,sovereign wealth fund,sovereign wealth fund,суверенный фонд,1,1,0,100.0,0.0
Q10624527,biographical museum,biographical museum,персональный музей,2,1,1,50.0,50.0
Q106317256,nuclear arsenal,nuclear arsenal,ядерный арсенал,1,0,1,0.0,100.0
Q106861156,national road cycling championships - RR,national road cycling championships - RR,Национальные чемпионаты по шоссейному велоспорту - групповые гонки,1,0,1,0.0,100.0
Q106861159,national road cycling championships - ITT,national road cycling championships - ITT,Национальные чемпионаты по шоссейному велоспорту - индивидуальные гонки,1,0,1,0.0,100.0
Q1068842,,,,2,1,1,50.0,50.0
Q106978510,international rail transit service,international rail transit service,international rail transit service,1,0,1,0.0,100.0
Q107099245,sport ministry,sport ministry,министерство спорта,2,2,0,100.0,0.0
Q10713454,water source,water source,источник воды,2,2,0,100.0,0.0
Q1072326,summit,Саммит,саммит,3,0,3,0.0,100.0
Q10729872,medical association,medical association,медицинская коллегия,1,1,0,100.0,0.0
Q107357104,type of dance,type of dance,тип танца,2,1,1,50.0,50.0
Q107359024,class of election,class of election,тип выборов,2,0,2,0.0,100.0
Q107425,,,,1,1,0,100.0,0.0
Q107427417,class of honorary consuls to a country,class of honorary consuls to a country,class of honorary consuls to a country,1,0,1,0.0,100.0
Q107637871,transboundary site,transboundary site,transboundary site,1,0,1,0.0,100.0
Q1076426,uxoricide,uxoricide,женоубийство,1,1,0,100.0,0.0
Q1076486,sports venue,спорт ғимараттары,спортивное сооружение,8,1,7,12.5,87.5
Q107679,cliff,Клиф,клиф,2,0,2,0.0,100.0
Q107738583,Wikidata property for authority control for sports athletes,Wikidata property for authority control for sports athletes,свойство Викиданных для нормативного контроля спортсменов,1,0,1,0.0,100.0
Q1078286,military band,military band,военный оркестр,1,0,1,0.0,100.0
Q1079023,championship,Чемпионат,чемпионат,2,2,0,100.0,0.0
Q1081138,historic site,historic site,памятник истории,3,1,2,33.33,66.67
Q108178728,,,,1,1,0,100.0,0.0
Q10832530,,,,1,1,0,100.0,0.0
Q108390245,North-West Russia Wiki-Historians User Group events,North-West Russia Wiki-Historians User Group events,Мероприятия Юзер-группы Вики-краеведов Северо-запада России,1,0,1,0.0,100.0
Q108395614,volleyball club,volleyball club,волейбольный клуб,3,1,2,33.33,66.67
Q108436459,dance by ethnic group,dance by ethnic group,танец по этнической группе,1,0,1,0.0,100.0
Q10855061,archaeological find,archaeological find,археологическая находка,1,1,0,100.0,0.0
Q10874184,China Railway train service,China Railway train service,China Railway train service,2,0,2,0.0,100.0
Q108788952,ethnic group by residency,ethnic group by residency,этническая группа на территории,14,4,10,28.57,71.43
Q108822533,border river,border river,пограничная река,2,0,2,0.0,100.0
Q1088552,Catholic church building,костел,костёл,1,0,1,0.0,100.0
Q109607,,,,2,2,0,100.0,0.0
Q109623729,association football club match,association football club match,футбольный матч клубных команд,17,13,4,76.47,23.53
Q1097949,literary language,әдеби тіл,литературный язык,1,1,0,100.0,0.0
Q11032,newspaper,газет,газета,27,10,17,37.04,62.96
Q11033,mass media,бұқаралық ақпарат құралы,средство массовой информации,2,0,2,0.0,100.0
Q110548223,proposed legislation,proposed legislation,предлагаемый законодательный акт,1,0,1,0.0,100.0
Q110706912,Islamic organization,Islamic organization,исламская организация,1,1,0,100.0,0.0
Q11086064,total solar eclipse,total solar eclipse,полное солнечное затмение,4,0,4,0.0,100.0
Q1110684,regulatory college,regulatory college,профессиональное объединение,1,1,0,100.0,0.0
Q11166728,television tower,теледидар мұнарасы,телебашня,2,1,1,50.0,50.0
Q11187131,2015 World Judo Championships,Дзюдодан әлем чемпионаты 2015,Чемпионат мира по дзюдо 2015,10,0,10,0.0,100.0
Q11197007,ethnoreligious group,ethnoreligious group,этнорелигиозная группа,1,1,0,100.0,0.0
Q11204,legislature,Заң шығарушы билік,орган законодательной власти,3,3,0,100.0,0.0
Q112128334,protected area of Kazakhstan of republican significance,protected area of Kazakhstan of republican significance,особо охраняемая природная территория республиканского значения Казахстана,119,66,53,55.46,44.54
Q11223998,IJF World Tour,IJF World Tour,IJF World Tour,1,0,1,0.0,100.0
Q112537478,,,,45,6,39,13.33,86.67
Q1128637,,,,1,1,0,100.0,0.0
Q112876,pine barrens,Шоқ қарағай,бор,1,0,1,0.0,100.0
Q1129474,cultural landscape,cultural landscape,культурный ландшафт,2,1,1,50.0,50.0
Q11303,skyscraper,Көктіреген,небоскрёб,5,1,4,20.0,80.0
Q113040113,national inventory of intangible cultural heritage,national inventory of intangible cultural heritage,национальный реестр нематериального культурного наследия,1,0,1,0.0,100.0
Q113065939,Embassy of the United States,Embassy of the United States,посольство США,1,0,1,0.0,100.0
Q1131329,,,,1,1,0,100.0,0.0
Q11315,shopping center,сауда орталығы,торговый центр,11,2,9,18.18,81.82
Q113254938,spacecraft fleet,spacecraft fleet,Космический флот,1,0,1,0.0,100.0
Q113363345,,,,1,0,1,0.0,100.0
Q113455515,,,,1,1,0,100.0,0.0
Q113612628,language in an area,language in an area,язык на территории,1,0,1,0.0,100.0
Q11362251,World Judo Cadets Championships,World Judo Cadets Championships,World Judo Cadets Championships,1,0,1,0.0,100.0
Q11362400,World Team Judo Championships,World Team Judo Championships,World Team Judo Championships,2,0,2,0.0,100.0
Q113681824,opencast mine,opencast mine,opencast mine,1,0,1,0.0,100.0
Q113813711,coin type,coin type,тип монеты,686,0,686,0.0,100.0
Q113988536,recurring religious event,recurring religious event,recurring religious event,1,1,0,100.0,0.0
Q1140371,national identification number,national identification number,национальный идентификационный номер,1,1,0,100.0,0.0
Q1140419,ambiguity,ambiguity,неоднозначность,1,0,1,0.0,100.0
Q114055312,national baseball team,national baseball team,national baseball team,1,0,1,0.0,100.0
Q11410,game,ойын,игра,2,2,0,100.0,0.0
Q114342413,cancelled event,cancelled event,отменное мероприятие,1,0,1,0.0,100.0
Q114347110,Kazakhstan motorcycle Grand Prix,Kazakhstan motorcycle Grand Prix,Kazakhstan motorcycle Grand Prix,1,0,1,0.0,100.0
Q1143635,,,,1,1,0,100.0,0.0
Q11448906,science award,science award,научная награда,1,0,1,0.0,100.0
Q11460,clothing,киім,одежда,1,1,0,100.0,0.0
Q114609228,recurring sporting event edition,recurring sporting event edition,версия повторяющегося спортивного события,13,3,10,23.08,76.92
Q114782406,,,,1,1,0,100.0,0.0
Q11486291,,,,1,0,1,0.0,100.0
Q1149061,language area,language area,языковое пространство,1,0,1,0.0,100.0
Q115110263,railway border crossing,railway border crossing,железнодорожное пересечение границы,6,0,6,0.0,100.0
Q115135140,futsal competition,futsal competition,соревнование по футзалу,1,0,1,0.0,100.0
Q1153191,online newspaper,online newspaper,интернет-издание,7,1,6,14.29,85.71
Q115346835,temperate steppe,temperate steppe,temperate steppe,3,1,2,33.33,66.67
Q1154710,association football venue,association football venue,футбольный стадион,4,4,0,100.0,0.0
Q11572907,order of succession,order of succession,Престолонаследие,1,0,1,0.0,100.0
Q115839789,basketball club,basketball club,баскетбольный клуб,5,2,3,40.0,60.0
Q115857096,aspect of history in a geographic region,aspect of history in a geographic region,исторический аспект в географическом регионе,1,1,0,100.0,0.0
Q116597750,association football derby,association football derby,дерби (футбол),1,1,0,100.0,0.0
Q11670533,elevated station,elevated station,приподнятая станция,1,0,1,0.0,100.0
Q11691,stock exchange,Қор биржасы,фондовая биржа,4,2,2,50.0,50.0
Q116953048,beach soccer club,beach soccer club,пляжный футбольный клуб,1,0,1,0.0,100.0
Q11707,restaurant,мейрамхана,ресторан,1,1,0,100.0,0.0
Q117086260,national field hockey team,national field hockey team,сборная по хоккею на траве,2,1,1,50.0,50.0
Q117103628,national water polo team,national water polo team,national water polo team,1,0,1,0.0,100.0
Q117819097,women's basketball club,women's basketball club,женский баскетбольный клуб,2,0,2,0.0,100.0
Q117819211,men's basketball club,men's basketball club,мужской баскетбольный клуб,1,0,1,0.0,100.0
Q117819338,women's volleyball club,women's volleyball club,женский волейбольный клуб,2,1,1,50.0,50.0
Q11783626,athletics meeting,athletics meeting,соревнование по лёгкой атлетике,2,0,2,0.0,100.0
Q11796413,decoration,decoration,знак отличия,4,2,2,50.0,50.0
Q1180262,,,,1,1,0,100.0,0.0
Q11812394,theatre company,theatre company,театральная организация,11,10,1,90.91,9.09
Q1181413,palace of culture,palace of culture,дворец культуры,4,2,2,50.0,50.0
Q118188609,beach soccer competition,beach soccer competition,соревнование по пляжному футболу,1,0,1,0.0,100.0
Q11822917,,,,1,1,0,100.0,0.0
Q118726613,military youth organisation,military youth organisation,military youth organisation,1,0,1,0.0,100.0
Q11892333,freedom of speech by country,freedom of speech by country,freedom of speech by country,1,0,1,0.0,100.0
Q1190554,occurrence,occurrence,событие,2,1,1,50.0,50.0
Q1193236,news media,news media,новостные СМИ,1,0,1,0.0,100.0
Q119442487,Kazakhstan Future Series,Kazakhstan Future Series,Kazakhstan Future Series,1,0,1,0.0,100.0
Q1194951,national sports team,national sports team,сборная,6,0,6,0.0,100.0
Q1196904,electronic publishing,electronic publishing,цифровое издание,1,0,1,0.0,100.0
Q1197685,public holiday,public holiday,государственный праздник,8,7,1,87.5,12.5
Q119942457,UCI Women's Continental Team,UCI Women's Continental Team,UCI Women's Continental Team,2,0,2,0.0,100.0
Q12018180,geomorphological system,geomorphological system,геоморфологическая система,1,0,1,0.0,100.0
Q12019965,,,,2,2,0,100.0,0.0
Q12021235,,,гребень,3,2,1,66.67,33.33
Q120434264,Kazakhstan Badminton Championships,Kazakhstan Badminton Championships,Kazakhstan Badminton Championships,68,0,68,0.0,100.0
Q12057459,writers union,writers union,союз писателей,1,1,0,100.0,0.0
Q12075102,,,,1,1,0,100.0,0.0
Q12075477,Islam of an area,Islam of an area,ислам на территории,1,1,0,100.0,0.0
Q120762065,Asian Road Cycling Championships - Men U19 RR,Asian Road Cycling Championships - Men U19 RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (мужчины U19),2,0,2,0.0,100.0
Q120762066,Asian Road Cycling Championships - Men U19 ITT,Asian Road Cycling Championships - Men U19 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (мужчины U19),2,0,2,0.0,100.0
Q120762067,Asian Road Cycling Championships - Women U23 RR,Asian Road Cycling Championships - Women U23 RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (женщины U23),1,0,1,0.0,100.0
Q120762068,Asian Road Cycling Championships - Women U23 ITT,Asian Road Cycling Championships - Women U23 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (женщины U23),1,0,1,0.0,100.0
Q120762069,Asian Road Cycling Championships - Women U19 RR,Asian Road Cycling Championships - Women U19 RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (женщины U19),2,0,2,0.0,100.0
Q120762070,Asian Road Cycling Championships - Women U19 ITT,Asian Road Cycling Championships - Women U19 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (женщины U19),2,0,2,0.0,100.0
Q12079191,artesian basin,Артезиан алабы,артезианский бассейн,10,10,0,100.0,0.0
Q1208380,dialect group,диалектілер тобы,группа диалектов языка,1,0,1,0.0,100.0
Q12091026,coal deposit,coal deposit,угольное месторождение,1,0,1,0.0,100.0
Q12099220,,,,1,0,1,0.0,100.0
Q12104567,,,,2,2,0,100.0,0.0
Q121182,information system,Ақпарат жүйесі,информационная система,1,0,1,0.0,100.0
Q12132769,oil and gas field,oil and gas field,нефтегазовое месторождение,3,2,1,66.67,33.33
Q12132780,oil and gas bearing province,oil and gas bearing province,нефтегазоносная провинция,1,0,1,0.0,100.0
Q12134916,,,,1,1,0,100.0,0.0
Q12137573,Paleolithic site,Paleolithic site,палеолитическая стоянка,1,1,0,100.0,0.0
Q12139612,list,тізім,список,1,1,0,100.0,0.0
Q12140,medication,Дәрі-дәрмек,лекарственное средство,1,1,0,100.0,0.0
Q12149173,ore district,ore district,рудный район,4,4,0,100.0,0.0
Q121556053,wrestling competition,wrestling competition,соревнования по борьбе,1,0,1,0.0,100.0
Q12160242,art society,art society,творческий союз,1,1,0,100.0,0.0
Q12164334,professional holiday of Ukraine,professional holiday of Ukraine,профессиональный праздник на Украине,1,0,1,0.0,100.0
Q12174444,sink,ойыс,впадина,2,2,0,100.0,0.0
Q12184,pandemic,індет,пандемия,1,1,0,100.0,0.0
Q1220872,,,,1,0,1,0.0,100.0
Q122204781,airport identification code,airport identification code,airport identification code,1,0,1,0.0,100.0
Q122329178,economic forum,economic forum,экономический форум,1,1,0,100.0,0.0
Q12266391,city of republican significance,Республикалық маңызы бар қала,город республиканского значения,4,4,0,100.0,0.0
Q12280,bridge,көпір,мост,4,2,2,50.0,50.0
Q12280169,animal husbandry of an area,animal husbandry of an area,животноводство на территории,1,0,1,0.0,100.0
Q12284,canal,канал,канал,35,12,23,34.29,65.71
Q12308941,male given name,ер адамның жеке есімі,мужское личное имя,1,0,1,0.0,100.0
Q123225013,Kazakhstan Junior International Badminton Championships,Kazakhstan Junior International Badminton Championships,Kazakhstan Junior International Badminton Championships,2,0,2,0.0,100.0
Q12323,dam,бөгет,плотина,21,4,17,19.05,80.95
Q123237442,sex trafficking by country or territory,sex trafficking by country or territory,sex trafficking by country or territory,1,0,1,0.0,100.0
Q123237961,abortion by country,abortion by country,аборты на территории,1,1,0,100.0,0.0
Q12332021,politics by country,politics by country,политика по странам,1,1,0,100.0,0.0
Q123480,landlocked country,Мұхитқа шыға алмайтын елдер,не имеющие выхода к морю государства,1,1,0,100.0,0.0
Q12353044,oil refinery,oil refinery,нефтеперерабатывающий завод,3,1,2,33.33,66.67
Q12357832,second-level administrative division,second-level administrative division,административная единица второго уровня,20,15,5,75.0,25.0
Q12357920,third-level administrative division,third-level administrative division,административная единица третьего уровня,25,13,12,52.0,48.0
Q123585930,reconstruction,reconstruction,реконструкция,1,0,1,0.0,100.0
Q12367307,complex emergency,complex emergency,комплексная катастрофа,1,1,0,100.0,0.0
Q123705,neighborhood,neighborhood,нейборхуд,46,31,15,67.39,32.61
Q123991,steppe,Дала,степь,3,2,1,66.67,33.33
Q124098638,Roman Catholic ecclesiastical province,Roman Catholic ecclesiastical province,римско-католическая церковная провинция,1,0,1,0.0,100.0
Q1241288,economic affairs ministry,economic affairs ministry,министерство экономики,1,1,0,100.0,0.0
Q12413618,international border,Мемлекеттік шекара,межгосударственная граница,6,5,1,83.33,16.67
Q124221947,One Earth Ecoregion,One Earth Ecoregion,One Earth Ecoregion,4,0,4,0.0,100.0
Q1244922,embankment dam,Жербөгет,насыпная плотина,1,1,0,100.0,0.0
Q1245089,promontory,promontory,возвышение,1,1,0,100.0,0.0
Q124556620,type of legal entity in Kazakhstan,type of legal entity in Kazakhstan,type of legal entity in Kazakhstan,1,1,0,100.0,0.0
Q124714,spring,бұлақтар,родник,123,13,110,10.57,89.43
Q124734,rebellion,Көтеріліс,восстание,6,4,2,66.67,33.33
Q1248784,airport,әуежай,аэропорт,35,31,4,88.57,11.43
Q12518,tower,Мұнара,башня,4,3,1,75.0,25.0
Q12540664,media distributor,Дистрибутор,дистрибьютор,1,1,0,100.0,0.0
Q12541085,,,,1,1,0,100.0,0.0
Q1254874,television network,television network,телевизионная сеть,1,1,0,100.0,0.0
Q1254933,astronomical observatory,astronomical observatory,астрономическая обсерватория,4,1,3,25.0,75.0
Q125505344,place designated by a field name,place designated by a field name,урочище,2,1,1,50.0,50.0
Q12552199,main gas pipeline,Магистральды газ құбыры,магистральный газопровод,1,0,1,0.0,100.0
Q125569386,university branch,university branch,филиал университета,1,0,1,0.0,100.0
Q125577386,foreign intelligence service,foreign intelligence service,Служба внешней разведки,1,1,0,100.0,0.0
Q12570,suspension bridge,Аспалы көпір,висячий мост,1,1,0,100.0,0.0
Q1262090,oil pipeline,oil pipeline,нефтепровод,4,4,0,100.0,0.0
Q1262712,gas pipeline,Газжүргізгіш,газопровод,5,0,5,0.0,100.0
Q1268865,light rail,light rail,легкорельсовый транспорт,1,0,1,0.0,100.0
Q1269299,type of business entity,type of business entity,тип юридического лица,1,1,0,100.0,0.0
Q1269827,,,,1,1,0,100.0,0.0
Q12737077,occupation,қызмет түрі,род занятий,1,0,1,0.0,100.0
Q12765911,folkloristic group,folkloristic group,folkloristic group,1,1,0,100.0,0.0
Q12768272,Judaism of an area,Judaism of an area,иудаизм на территории,1,0,1,0.0,100.0
Q12806886,tea culture of an area,tea culture of an area,чайная культура территории,1,1,0,100.0,0.0
Q12830341,Eastern Orthodoxy of an area,Eastern Orthodoxy of an area,православие на территории,1,0,1,0.0,100.0
Q12830429,Protestantism of an area,Protestantism of an area,протестантизм на территории,1,0,1,0.0,100.0
Q12833777,Christianity of an area,Christianity of an area,христианство на территории,1,1,0,100.0,0.0
Q128654790,ski jumping complex,ski jumping complex,комплекс лыжных трамплинов,2,0,2,0.0,100.0
Q1288568,modern language,modern language,живой язык,13,11,2,84.62,15.38
Q12897688,Jehovah's Witnesses of an area,Jehovah's Witnesses of an area,Свидетели Иеговы на территории,1,0,1,0.0,100.0
Q12909644,political ideology,саяси идеология,политическая идеология,1,0,1,0.0,100.0
Q1292279,political border,Мемлекеттік шекара,политическая граница,1,0,1,0.0,100.0
Q129268952,,,,1,1,0,100.0,0.0
Q12932380,Hinduism of an area,Hinduism of an area,индуизм на территории,1,0,1,0.0,100.0
Q12933353,Buddhism of an area,Buddhism of an area,буддизм на территории,1,1,0,100.0,0.0
Q129675946,,,,18,17,1,94.44,5.56
Q129725870,,,,38,38,0,100.0,0.0
Q12973014,sports team,sports team,спортивная команда,6,1,5,16.67,83.33
Q129730229,akimat of city of regional significance,облыстық маңызы бар қалалардың әкімдігі,акимат города областного значения,37,35,2,94.59,5.41
Q129791543,,,,5,5,0,100.0,0.0
Q129882775,,,,43,43,0,100.0,0.0
Q129882905,town administration of Kazakhstan,Кенттік әкімшілік,поселковая администрация в Казахстане,76,75,1,98.68,1.32
Q130003,ski resort,ski resort,горнолыжный курорт,4,1,3,25.0,75.0
Q130108094,,,,48,48,0,100.0,0.0
Q130212458,village of Kazakhstan,Қазақстан ауылы,село в Казахстане,7935,6882,1053,86.73,13.27
Q130282561,Address to the Nation of the President of Kazakhstan,Қазақстан президентінің Халыққа жолдауы,Послание народу президента Казахстана,9,0,9,0.0,100.0
Q130417640,Delegation of the European Union,Delegation of the European Union,Delegation of the European Union,1,0,1,0.0,100.0
Q13052937,Armenian Apostolic Church diocese,Armenian Apostolic Church diocese,епархия Армянской апостольской церкви,1,0,1,0.0,100.0
Q130639613,automobile repair shop chain,automobile repair shop chain,automobile repair shop chain,1,0,1,0.0,100.0
Q13065566,,,,1,1,0,100.0,0.0
Q1306755,,,,1,1,0,100.0,0.0
Q13073773,Catholic Church of an area,Catholic Church of an area,католицизм на территории,1,1,0,100.0,0.0
Q13107170,Dnepr radar,Dnepr radar,Днепр,1,0,1,0.0,100.0
Q1313096,ministry of science,ministry of science,министерство науки и технологии,2,2,0,100.0,0.0
Q131324128,water polo club,water polo club,ватерпольный клуб,2,2,0,100.0,0.0
Q131437023,tax status,tax status,tax status,1,0,1,0.0,100.0
Q131459694,association football season,association football season,розыгрыш футбольного турнира,26,12,14,46.15,53.85
Q131569,treaty,Халықаралық келiсiмдер,международный договор,4,2,2,50.0,50.0
Q131647,medal,медаль,медаль,26,25,1,96.15,3.85
Q131681,reservoir,су қоймасы,водохранилище,86,76,10,88.37,11.63
Q131734,brewery,brewery,пивоварня,1,0,1,0.0,100.0
Q1318941,stage race,stage race,многодневная велогонка,1,0,1,0.0,100.0
Q13197989,Sunni Islam of an area,Sunni Islam of an area,суннизм на территории,2,0,2,0.0,100.0
Q1322134,gulf,gulf,залив,1,1,0,100.0,0.0
Q132241,festival,festival,фестиваль,3,1,2,33.33,66.67
Q13226383,facility,facility,площадка,18,3,15,16.67,83.33
Q132510,market,Базар,рынок,3,0,3,0.0,100.0
Q132834,madrasa,Медресе,медресе,5,3,2,60.0,40.0
Q1329623,cultural center,cultural center,культурный центр,2,0,2,0.0,100.0
Q133004,diaspora,Диаспора,диаспора,1,0,1,0.0,100.0
Q133056,mountain pass,асу,перевал,94,16,78,17.02,82.98
Q1331793,media company,media company,медиакомпания,2,1,1,50.0,50.0
Q133311,tribe,тайпа,племя,7,5,2,71.43,28.57
Q133346,border,Мемлекеттік шекара,граница географическая,5,5,0,100.0,0.0
Q1335652,airport railway station,airport railway station,железнодорожная станция при аэропорте,1,0,1,0.0,100.0
Q1337424,Perry Groves,Perry Groves,Перри Гроувз,1,0,1,0.0,100.0
Q133744,tour operator,tour operator,туроператор,2,0,2,0.0,100.0
Q1339195,station building,station building,железнодорожный вокзал,3,2,1,66.67,33.33
Q13393265,basketball team,basketball team,баскетбольная команда,11,3,8,27.27,72.73
Q13406463,Wikimedia list article,Wikimedia list article,статья-список в проекте Викимедиа,157,33,124,21.02,78.98
Q13406554,sports competition,sports competition,спортивное соревнование,25,6,19,24.0,76.0
Q13406660,civil rights movement,civil rights movement,движение за гражданские права,1,1,0,100.0,0.0
Q1341478,,,,1,1,0,100.0,0.0
Q134161,joint-stock company,Акционерлік қоғам,акционерное общество,1,1,0,100.0,0.0
Q134447,nuclear power plant,Атом электр стансасы,атомная электростанция,1,1,0,100.0,0.0
Q1345691,international financial institution,international financial institution,международная финансовая организация,1,0,1,0.0,100.0
Q1345712,development strategy,development strategy,стратегия развития,1,1,0,100.0,0.0
Q1349015,GOST,GOST,межгосударственный стандарт,2,0,2,0.0,100.0
Q1349255,natural gas field,Газ кені,месторождение природного газа,8,4,4,50.0,50.0
Q135054036,men’s national volleyball team,men’s national volleyball team,мужская сборная страны по волейболу,1,0,1,0.0,100.0
Q135207825,international oil company,international oil company,international oil company,1,1,0,100.0,0.0
Q1353183,launch pad,launch pad,стартовый комплекс,7,0,7,0.0,100.0
Q135408445,men's national association football team,men's national association football team,мужская сборная по футболу,1,1,0,100.0,0.0
Q135409346,men's national ice hockey team,men's national ice hockey team,men's national ice hockey team,1,1,0,100.0,0.0
Q135409668,travel company,travel company,travel company,1,0,1,0.0,100.0
Q135728374,men's national bandy team,men's national bandy team,men's national bandy team,1,1,0,100.0,0.0
Q135728463,men's national basketball team,men's national basketball team,men's national basketball team,1,1,0,100.0,0.0
Q135747756,men's national water polo team,men's national water polo team,men's national water polo team,1,1,0,100.0,0.0
Q135747780,women's national ice hockey team,women's national ice hockey team,women's national ice hockey team,1,0,1,0.0,100.0
Q1358919,bicycle-sharing system,bicycle-sharing system,велопрокат,2,0,2,0.0,100.0
Q136408744,Research and Development (R&D) Center,Research and Development (R&D) Center,Research and Development (R&D) Center,1,0,1,0.0,100.0
Q1364157,philharmonic society,филармония,филармония,10,9,1,90.0,10.0
Q1364302,ministry of agriculture,ministry of agriculture,министерство сельского хозяйства,1,1,0,100.0,0.0
Q1365924,mineral spring,Минералды бұлақтар,минеральный источник,2,2,0,100.0,0.0
Q1366722,final,Финал,финал,2,2,0,100.0,0.0
Q136696275,Сhain of discounters,Сhain of discounters,Сеть дискаунтеров,1,0,1,0.0,100.0
Q1368262,National Paralympic Committee,National Paralympic Committee,Национальный паралимпийский комитет,1,1,0,100.0,0.0
Q1370598,structure of worship,structure of worship,культовое сооружение,2,1,1,50.0,50.0
Q1371037,,,,1,1,0,100.0,0.0
Q137186904,transcontinental region,transcontinental region,трансконтинентальный регион,1,0,1,0.0,100.0
Q137274086,,,,2,2,0,100.0,0.0
Q137455956,Defunct episcopal conference,Defunct episcopal conference,Defunct episcopal conference,1,0,1,0.0,100.0
Q137794598,ministry of Kazakhstan,ministry of Kazakhstan,ministry of Kazakhstan,23,23,0,100.0,0.0
Q13785326,2014 Fed Cup,2014 Fed Cup,Кубок Федерации 2014,1,0,1,0.0,100.0
Q137871518,nation in the New Wave competition,nation in the New Wave competition,страна в конкурсе Новая волна,1,0,1,0.0,100.0
Q1378975,,,,1,1,0,100.0,0.0
Q138775,border guard,Шекара әскерлері,пограничные войска,1,1,0,100.0,0.0
Q138825,children's railway,Балалар темір жолы,детская железная дорога,5,0,5,0.0,100.0
Q13883136,,,,1,0,1,0.0,100.0
Q139591396,,,,1,1,0,100.0,0.0
Q1402443,border train station,border train station,приграничная железнодорожная станция,2,1,1,50.0,50.0
Q1402592,island group,island group,группа островов,6,3,3,50.0,50.0
Q140360298,,,купеческая династия,1,0,1,0.0,100.0
Q140362944,,,награды в географическом регионе,1,1,0,100.0,0.0
Q140678780,chess tournament edition,chess tournament edition,сезон шахматного турнира,10,0,10,0.0,100.0
Q1406988,,,,1,1,0,100.0,0.0
Q140705642,emergency minister,emergency minister,emergency minister,1,0,1,0.0,100.0
Q1407225,television award,television award,награда в области телевидения,1,0,1,0.0,100.0
Q140892892,country sometimes considered transcontinental,country sometimes considered transcontinental,"возможно, трансконтинентальная страна",1,1,0,100.0,0.0
Q1412205,armory,armory,Цейхгауз,1,1,0,100.0,0.0
Q1413677,justice ministry,Әділет министрлігі,министерство юстиции,1,1,0,100.0,0.0
